07:44:17 | INFO     | Agent.DocumentLoader | Loading documents from: local
07:44:17 | WARNING  | Agent.DocumentLoader | No PDFs found locally — creating demo PDF.
07:44:28 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:44:28 | WARNING  | CPA_AI | LLM call attempt 1 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:44:28 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:44:28 | WARNING  | CPA_AI | LLM call attempt 2 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:44:28 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:44:28 | WARNING  | CPA_AI | LLM call attempt 3 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:44:28 | ERROR    | CPA_AI | All LLM retries exhausted.
07:44:28 | WARNING  | Agent.DataExtractor | LLM extraction parse failed: Expecting value: line 1 column 2 (char 1)
07:44:30 | INFO     | Agent.MarketRateFetcher | Fetching Shiply rates via Apify...
07:44:35 | ERROR    | Agent.MarketRateFetcher | Shiply fetch failed: You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/USU1GjfiedZQLnOBX
07:44:35 | INFO     | Agent.MarketRateFetcher | Fetching FBX data via Apify...
07:45:27 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:45:28 | WARNING  | CPA_AI | LLM call attempt 1 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:45:28 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:45:28 | WARNING  | CPA_AI | LLM call attempt 2 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:45:28 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:45:28 | WARNING  | CPA_AI | LLM call attempt 3 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:45:28 | ERROR    | CPA_AI | All LLM retries exhausted.
07:57:48 | INFO     | Agent.DocumentLoader | Loading documents from: local
07:57:53 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:57:53 | WARNING  | CPA_AI | LLM call attempt 1 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:57:53 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:57:53 | WARNING  | CPA_AI | LLM call attempt 2 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:57:53 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 404 Not Found"
07:57:53 | WARNING  | CPA_AI | LLM call attempt 3 failed: Error code: 404 - {'error': {'message': 'No endpoints found for mistralai/mistral-7b-instruct:free.', 'code': 404}, 'user_id': 'user_3CEmoYcQGh3OfUkjUQB2zrDnS2o'}
07:57:53 | ERROR    | CPA_AI | All LLM retries exhausted.
07:57:53 | WARNING  | Agent.DataExtractor | LLM extraction parse failed: Expecting value: line 1 column 2 (char 1)
